janitor_version,indicator_name,indicator_code,import_file_source
pa_nus_ppp,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,economic_growth
pa_nus_atls,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,economic_growth
ny_gdy_totl_kn,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,economic_growth
ny_gds_totl_zs,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,economic_growth
nv_srv_totl_zs,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,economic_growth
nv_ind_totl_zs,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,economic_growth
nv_agr_totl_zs,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,economic_growth
ne_gdi_totl_zs,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,economic_growth
ne_dab_totl_zs,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,economic_growth
ne_con_totl_zs,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,economic_growth
fp_cpi_totl_zg,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,economic_growth
fi_res_totl_cd,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,economic_growth
bx_pef_totl_cd_wd,"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,economic_growth
bx_gsr_totl_cd,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,economic_growth
bn_fin_totl_cd,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,economic_growth
bm_gsr_totl_cd,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,economic_growth
sl_uem_totl_zs,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,education
sl_tlf_totl_in,"Labor force, total",SL.TLF.TOTL.IN,education
sh_dyn_2024,"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,education
sh_dyn_1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,education
sh_dyn_1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,education
sh_dyn_0509,"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,education
sh_dth_2024,Number of deaths ages 20-24 years,SH.DTH.2024,education
sh_dth_1519,Number of deaths ages 15-19 years,SH.DTH.1519,education
sh_dth_1014,Number of deaths ages 10-14 years,SH.DTH.1014,education
sh_dth_0509,Number of deaths ages 5-9 years,SH.DTH.0509,education
se_xpd_totl_gd_zs,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,education
se_ter_enrr,"School enrollment, tertiary (% gross)",SE.TER.ENRR,education
se_sec_durs,"Secondary education, duration (years)",SE.SEC.DURS,education
se_sec_ages,Lower secondary school starting age (years),SE.SEC.AGES,education
se_prm_tchr,"Primary education, teachers",SE.PRM.TCHR,education
se_prm_enrr,"School enrollment, primary (% gross)",SE.PRM.ENRR,education
se_prm_enrl,"Primary education, pupils",SE.PRM.ENRL,education
se_prm_durs,"Primary education, duration (years)",SE.PRM.DURS,education
se_prm_ages,Primary school starting age (years),SE.PRM.AGES,education
se_pre_enrr,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,education
se_pre_durs,"Preprimary education, duration (years)",SE.PRE.DURS,education
se_com_durs,"Compulsory education, duration (years)",SE.COM.DURS,education
tg_val_totl_gd_zs,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,infrastructure
st_int_arvl,"International tourism, number of arrivals",ST.INT.ARVL,infrastructure
it_net_bbnd,Fixed broadband subscriptions,IT.NET.BBND,trade
it_mlt_main,Fixed telephone subscriptions,IT.MLT.MAIN,trade
it_cel_sets,Mobile cellular subscriptions,IT.CEL.SETS,trade
is_air_psgr,"Air transport, passengers carried",IS.AIR.PSGR,trade
is_air_dprt,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,trade
