indicator_name,indicator_code,janitor_version
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,vc_idp_tocv
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,tx_val_trvl_zs_wt
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,tx_val_serv_cd_wt
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,tx_val_mrch_wl_cd
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,tx_val_mrch_r4_zs
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,tx_val_mrch_or_zs
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,tx_val_mmtl_zs_un
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,tx_val_fuel_zs_un
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,tx_qty_mrch_xd_wd
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,tm_val_tran_zs_wt
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,tm_val_mrch_wr_zs
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,tm_val_mrch_r5_zs
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,tm_val_mrch_r1_zs
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,tm_val_mrch_al_zs
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,tm_val_ictg_zs_un
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,tm_uvi_mrch_xd_wd
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,tm_tax_tcom_sm_fn_zs
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,tm_tax_tcom_bc_zs
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,tm_tax_mrch_sm_fn_zs
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,tm_tax_mrch_bc_zs
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,tm_tax_manf_sm_fn_zs
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,tm_tax_manf_bc_zs
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,st_int_xpnd_cd
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,st_int_trnr_cd
"International tourism, number of arrivals",ST.INT.ARVL,st_int_arvl
Urban population growth (annual %),SP.URB.GROW,sp_urb_grow
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,sp_reg_dths_zs
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,sp_reg_brth_ma_zs
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,sp_pop_totl_fe_zs
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,sp_pop_scie_rd_p6
Age dependency ratio (% of working-age population),SP.POP.DPND,sp_pop_dpnd
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,sp_pop_7579_ma_5y
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,sp_pop_65up_to_zs
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,sp_pop_65up_fe_zs
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,sp_pop_6064_ma_5y
