grid_index,mtry,trees,min_n,mse_mean,mse_se,mae_mean,mae_se
1,18,682,3,0.0732474211984671,0.0336503790276155,0.0213188855069724,0.00216118245172293
2,16,1365,5,0.0639308970420862,0.0315939909821375,0.0216505912316992,0.00223820264230336
3,21,972,4,0.0724413748010694,0.0341730970226418,0.0214093329067738,0.00223802783975557
4,10,1037,5,0.0564841263397983,0.0274298623868287,0.0217336534937457,0.00234812501389379
5,10,1343,5,0.0635400951498072,0.0319457112478487,0.0219158897789511,0.0024107712424857
6,3,1166,4,0.0733826076495483,0.039585509588497,0.0226809818657369,0.00296364682819905
7,18,609,2,0.066665502418858,0.0318359492349155,0.0216616290778299,0.00223905416451165
8,13,1061,7,0.0628523153012708,0.0304041464585373,0.0220207804374015,0.00234142367147649
9,18,734,5,0.0630565544179849,0.0313869428275884,0.0218820964318748,0.00230665588905382
10,6,2120,2,0.0610787399778685,0.0309678580012791,0.0216770245813675,0.00249637392428329
11,21,990,8,0.079852997790174,0.0364697124517252,0.0219062414697013,0.00221064116584971
12,20,1473,5,0.0740230524315114,0.0343260708399804,0.0217064783675339,0.00218110099894439
13,16,1583,7,0.0647660114511948,0.0308067329495689,0.0217938403153483,0.0022349866717957
14,3,1320,4,0.0697621874777891,0.0366995891721769,0.0221756055153039,0.00277784807915866
15,3,1418,4,0.0688578163963192,0.0357685579721353,0.0223662995432678,0.00282376711918686
16,8,1650,7,0.0630621962640222,0.0320630799232849,0.0223001344945723,0.00251046008502995
17,3,509,5,0.0738845306167173,0.0351496022662798,0.0229254226547905,0.0028856907582159
18,11,730,3,0.0616990247195244,0.0296973721054737,0.0217775611154217,0.00238994329132532
19,2,1472,3,0.0742508606769013,0.0399356515225265,0.0226708866553206,0.00298131301387027
20,7,1046,7,0.0610584758204754,0.0316711536162478,0.0224575321756253,0.0026224525746908
21,5,1380,7,0.0679159648685222,0.0337370577809837,0.0226386117554223,0.00272916871739264
22,20,1747,5,0.0734736396196525,0.0339659106739797,0.0217576377980144,0.0021852362002477
23,7,1762,6,0.0634040665221152,0.032489430751783,0.0222092209623961,0.00254767469542698
